Run,Fraction,TechRepMixture,Channel,Condition,Mixture,BioReplicate
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input1,1,1,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input1_inj2,1,2,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input10,10,1,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input10_inj2,10,2,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input11,11,1,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input11_inj2,11,2,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input12,12,1,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input12_inj2,12,2,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,130N,TRF,single_kit,TRF3
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,130C,TRF,single_kit,TRF4
2021-02-18_AW_TMT10_TRF_SKM_input2,2,1,131N,TRF,single_kit,TRF5
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,126,AL,single_kit,AL1
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,127N,AL,single_kit,AL2
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,127C,AL,single_kit,AL3
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,128N,AL,single_kit,AL4
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,128C,AL,single_kit,AL5
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,129N,TRF,single_kit,TRF1
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,129C,TRF,single_kit,TRF2
2021-02-18_AW_TMT10_TRF_SKM_input2_inj2,2,2,130N,TRF,single_kit,TRF3
