Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	174	172	174	2273637440	2273637440	2273637440	17M(15.9949), 20K(229.1629), 22S(229.1629), 29S(229.1629), 2K(229.1629), 2S(229.1629), 3S(229.1629), 5S(229.1629), 8K(229.1629), 9S(229.1629), N-term(229.1629)			44094525.0617	46116283.7813	37641458.4138	39736587.5243	62707594.0166	48070192.9092	32994610.4112	25499329.2739	30392535.8161	22060924.4130
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	39	39	39	10699280128	48173766	48173766	12S(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 18M(15.9949), 18S(229.1629), 1M(15.9949), 25C(57.0214), 28K(229.1629), 2S(229.1629), 3S(229.1629), 46K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1629)			1881577.7597	1815905.7386	1683810.7016	1982654.2810	2333283.2510	2375694.1725	2901944.3449	2379908.2650	2483875.7575	2370652.1306
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin 	1:Experimental evidence at protein level	1.0000	0.9990	23	18	23	79	70	79	748714560	585398712	585398712	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 2C(57.0214), 2K(229.1629), 3C(57.0214), 4S(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), 8S(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			2684072.2950	7591372.8917	2088210.2382	3113219.7586	3531365.7583	3101648.1721	3658421.4892	3069385.9855	3319093.8899	2877781.8387
contam_sp|P68082|MYG_HORSE	P68082	MYG_HORSE	MB	154	Equus caballus	Myoglobin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	15	15	15	248073500	248073500	248073500	12K(229.1629), 13K(229.1629), 16K(229.1629), 5M(15.9949), 6K(229.1629), N-term(229.1629)			1613529.3914	1947720.0648	1447804.9176	1410910.5839	2042728.1875	1370441.8643	1272369.9494	1164470.0348	1150926.3465	1116029.1366
sp|A2AAJ9-3|OBSCN_MOUSE	A2AAJ9-3	OBSCN_MOUSE	Obscn	732	Mus musculus OX=10090	Isoform 3 of Obscurin 		1.0000	0.9990	11	11	11	17	17	17	110546322	110546322	110546322	13K(229.1629), 14K(229.1629), 15K(229.1629), 19S(229.1629), 1K(229.1629), 24K(229.1629), 4K(229.1629), N-term(229.1629)			1749247.9379	1865158.0345	1658881.0937	1478950.6858	2214940.1265	1991447.8464	1703516.9453	1593112.9366	1492374.1036	1418510.7460
sp|A2AAJ9|OBSCN_MOUSE	A2AAJ9	OBSCN_MOUSE	Obscn	8886	Mus musculus OX=10090	Obscurin 	1:Experimental evidence at protein level	1.0000	0.9990	336	320	336	1164	1106	1164	1196796576	1196796576	1196796576	10C(57.0214), 10K(229.1629), 10M(15.9949), 10S(229.1629), 11C(57.0214), 11K(229.1629), 11S(229.1629), 12C(57.0214), 12K(229.1629), 12M(15.9949), 13K(229.1629), 13M(15.9949), 14C(57.0214), 14K(229.1629), 14M(15.9949), 14S(229.1629), 15K(229.1629), 15S(229.1629), 16C(57.0214), 16K(229.1629), 16S(229.1629), 17C(57.0214), 17K(229.1629), 17M(15.9949), 17S(229.1629), 18C(57.0214), 18K(229.1629), 18M(15.9949), 19C(57.0214), 19K(229.1629), 19M(15.9949), 19S(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20C(57.0214), 20K(229.1629), 20S(229.1629), 21C(57.0214), 21K(229.1629), 21M(15.9949), 22K(229.1629), 22M(15.9949), 23C(57.0214), 23K(229.1629), 24K(229.1629), 24M(15.9949), 25C(57.0214), 25K(229.1629), 26K(229.1629), 27C(57.0214), 27K(229.1629), 28K(229.1629), 28M(15.9949), 29K(229.1629), 29S(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 2S(229.1629), 30K(229.1629), 30M(15.9949), 32C(57.0214), 32K(229.1629), 33C(57.0214), 33K(229.1629), 34C(57.0214), 34S(229.1629), 35K(229.1629), 39S(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 3S(229.1629), 40C(57.0214), 40K(229.1629), 41K(229.1629), 4C(57.0214), 4K(229.1629), 4M(15.9949), 4S(229.1629), 5C(57.0214), 5M(15.9949), 5S(229.1629), 6C(57.0214), 6K(229.1629), 6M(15.9949), 6S(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8C(57.0214), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629), N-term(42.0106)			154793677.0383	199005652.9451	142235152.0531	131577804.3910	179395227.8232	169534413.2140	137758548.3603	113832472.3911	121329622.0827	100825772.1007
sp|A2ABU4|MYOM3_MOUSE	A2ABU4	MYOM3_MOUSE	Myom3	1439	Mus musculus OX=10090	Myomesin-3 	1:Experimental evidence at protein level	1.0000	0.9990	58	58	58	136	136	136	41832656	41832656	41832656	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 14S(229.1629), 15S(229.1629), 17C(57.0214), 18K(229.1629), 19C(57.0214), 19K(229.1629), 19S(229.1629), 1C(57.0214), 20K(229.1629), 21K(229.1629), 23K(229.1629), 24S(229.1629), 26S(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 38K(229.1629), 3C(57.0214), 4K(229.1629), 5C(57.0214), 5K(229.1629), 6C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			7678797.5843	7830770.6743	9737145.6069	7514536.9389	10329007.0950	12050272.2021	9107646.0823	8717820.5954	6606578.0142	8353348.3387
sp|A2AGL3-2|RYR3_MOUSE	A2AGL3-2	RYR3_MOUSE	Ryr3	4834	Mus musculus OX=10090	Isoform 2 of Ryanodine receptor 3 		1.0000	0.9953	3	0	3	4	0	4	141705588	     0	2188340	23M(15.9949), 26K(229.1629), 3S(229.1629), 7M(15.9949), N-term(229.1629)		sp|A2AGL3|RYR3_MOUSE	86869.4430	41139.5008	57199.5701	65910.9905	84757.0820	60946.4209	113656.4302	76118.3335	97108.7035	100266.9628
sp|A2AGT5-2|CKAP5_MOUSE	A2AGT5-2	CKAP5_MOUSE	Ckap5	1972	Mus musculus OX=10090	Isoform 2 of Cytoskeleton-associated protein 5 		1.0000	0.9990	11	0	11	12	0	12	6489380	     0	6489380	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 15K(229.1629), 19K(229.1629), 3K(229.1629), 4K(229.1629), 5K(229.1629), 6K(229.1629), 7C(57.0214), 9K(229.1629), 9S(229.1629), N-term(229.1629)		sp|A2AGT5-3|CKAP5_MOUSE, sp|A2AGT5|CKAP5_MOUSE	439094.8404	471041.0707	343057.5246	415474.9196	657556.4219	551744.5785	488802.8156	501961.4307	398701.8380	368072.7726
sp|A2AIL4|NDUF6_MOUSE	A2AIL4	NDUF6_MOUSE	Ndufaf6	333	Mus musculus OX=10090	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	1683953	1683953	1683953	10K(229.1629), 13K(229.1629), 15C(57.0214), 21K(229.1629), 7C(57.0214), 9S(229.1629), N-term(229.1629)			102037.4151	92716.4847	76077.7632	103673.8596	152964.9961	120709.3964	110902.1401	86072.4447	98245.4404	90185.3720
sp|A2AJI0-2|MA7D1_MOUSE	A2AJI0-2	MA7D1_MOUSE	Map7d1	809	Mus musculus OX=10090	Isoform 2 of MAP7 domain-containing protein 1 		1.0000	0.9990	5	0	5	5	0	5	10742313	     0	10742313	10K(229.1629), 11K(229.1629), 2K(229.1629), 4K(229.1629), N-term(229.1629)		sp|A2AJI0|MA7D1_MOUSE	389457.4933	461534.9625	304229.8397	267441.6311	400520.3242	332389.8527	334868.8962	290103.8132	265526.0761	260161.8305
sp|A2AMM0|CAVN4_MOUSE	A2AMM0	CAVN4_MOUSE	Cavin4	362	Mus musculus OX=10090	Caveolae-associated protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	51	51	51	49115143	49115143	49115143	10C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 18K(229.1629), 29K(229.1629), 2M(15.9949), 3S(229.1629), 4K(229.1629), 5M(15.9949), 6K(229.1629), 7K(229.1629), 8K(229.1629), 8S(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			5211235.8218	5560206.3291	4261504.1726	3982309.8705	6154824.1709	5470348.7858	4150914.0755	3397874.8771	4045804.1677	2927905.7236
